0000011_000_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_010_101_11_101
0000011_001_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_010_011_11_101
0000011_010_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_010_000_11_101
0000011_100_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_010_100_11_101
0000011_101_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_010_010_11_101
0010011_000_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_010_XXX_11_011
0010011_001_0000000  0_0_0_0_0_0_0_000_1_1_X_011_XXX_11_011
0010011_010_XXXXXXX  0_0_0_0_0_0_0_000_1_1_0_011_XXX_11_010
0010011_011_XXXXXXX  0_0_0_0_0_0_0_000_1_1_1_011_XXX_11_010
0010011_100_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_101_XXX_11_011
0010011_101_0000000  0_0_0_0_0_0_0_000_1_1_X_100_XXX_11_011
0010011_101_0100000  0_0_0_0_0_0_0_000_1_1_X_101_XXX_11_011
0010011_110_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_111_XXX_11_011
0010011_111_XXXXXXX  0_0_0_0_0_0_0_000_1_1_X_001_XXX_11_011
0010111_XXX_XXXXXXX  0_0_0_0_0_0_0_010_1_X_X_XXX_XXX_11_111
0100011_000_XXXXXXX  0_0_0_0_0_0_0_100_0_1_X_010_XXX_10_XXX
0100011_001_XXXXXXX  0_0_0_0_0_0_0_100_0_1_X_010_XXX_01_XXX
0100011_010_XXXXXXX  0_0_0_0_0_0_0_100_0_1_X_010_XXX_00_XXX
0110011_000_0000000  0_0_0_0_0_0_0_XXX_1_0_X_010_XXX_11_011
0110011_000_0100000  0_0_0_0_0_0_0_XXX_1_0_X_110_XXX_11_011
0110011_001_0000000  0_0_0_0_0_0_0_XXX_1_0_X_011_XXX_11_011
0110011_010_0000000  0_0_0_0_0_0_0_XXX_1_0_0_XXX_XXX_11_010
0110011_011_0000000  0_0_0_0_0_0_0_XXX_1_0_1_XXX_XXX_11_010
0110011_100_0000000  0_0_0_0_0_0_0_XXX_1_0_X_000_XXX_11_011
0110011_101_0000000  0_0_0_0_0_0_0_XXX_1_0_X_100_XXX_11_011
0110011_101_0100000  0_0_0_0_0_0_0_XXX_1_0_X_101_XXX_11_011
0110011_110_0000000  0_0_0_0_0_0_0_XXX_1_0_X_111_XXX_11_011
0110011_111_0000000  0_0_0_0_0_0_0_XXX_1_0_X_001_XXX_11_011
0110111_XXX_XXXXXXX  0_0_0_0_0_0_0_010_1_X_X_XXX_XXX_11_100
1100011_000_XXXXXXX  0_1_0_0_0_0_0_111_0_0_0_XXX_XXX_11_XXX
1100011_001_XXXXXXX  0_0_1_0_0_0_0_111_0_0_0_XXX_XXX_11_XXX
1100011_100_XXXXXXX  0_0_0_1_0_0_0_111_0_0_0_XXX_XXX_11_XXX
1100011_101_XXXXXXX  0_0_0_0_1_0_0_111_0_0_0_XXX_XXX_11_XXX
1100011_110_XXXXXXX  0_0_0_0_0_1_0_111_0_0_1_XXX_XXX_11_XXX
1100011_111_XXXXXXX  0_0_0_0_0_0_1_111_0_0_1_XXX_XXX_11_XXX
1100111_XXX_XXXXXXX  1_0_0_0_0_0_0_000_1_1_X_010_XXX_11_110
1101111_XXX_XXXXXXX  1_0_0_0_0_0_0_001_1_1_X_XXX_XXX_11_110
# INPUT  = OP(7)+FUNC(3)+FUNC(7)
# OUTPUT = J(1) + BEQ(1) + BNE(1) + BLT(1) + BGE(1) + BLTU(1) + BGEU(1) IMM_TYPE_SELECT(3) + REG_WRITE(1) + ALU_B_OPERAND_SELECT(1) + ALU_CMP_TYPE(1) + ALU_OP_TYPE(3) + RAM_READ_TYPE(3) + RAM_WRITE_TYPE(2) + WRITE_DATA_SELECT(3)




